# ----------------------------------------
# סקירה כללית של היעד "ניתוח התנועה באתר או באפליקציה"
# חשבון: shukway
# נכס: shukway web
# ----------------------------------------
#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
משתמשים שביצעו גלילה,פעילויות באתר,משתמשים חוזרים,ביקורים ראשונים
2386,5059,603,3084

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
מזהה מדינה,משתמשים פעילים
AR,1
AU,12
BE,3
BR,1
CA,20
CH,1
CN,1
DE,17
DK,1
ES,2
FR,5
GB,32
GR,1
HK,1
HU,2
IE,18
IL,2446
IN,10
IT,2
MD,1
MX,5
NL,2
NO,1
PH,1
PK,1
PL,6
RS,1
RU,1
SE,3
TH,1
US,462
VE,2
ZA,2

# תאריך התחלה: 20260319
# תאריך סיום: 20260616
מדינה,משתמשים פעילים
IL,2446
US,462
GB,32
CA,20
IE,18
DE,17
AU,12

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
שבוע N,משך ההתעניינות הממוצע לכל משתמש פעיל
0000,18.5
0001,37.72631578947368
0002,44.12307692307692
0003,31.428571428571427
0004,69.73
0005,65.9186046511628
0006,54.350710900473935
0007,29.961904761904762
0008,61.264044943820224
0009,84.08955223880596
0010,51.52585258525853
0011,75.03349282296651
0012,32.19940476190476
0013,37.65151515151515

# תאריך התחלה: 20260319
# תאריך סיום: 20260616
שבוע N,סשנים עם התעניינות לכל משתמש פעיל
0000,0.7307692307692307
0001,0.5894736842105263
0002,0.6307692307692307
0003,0.6857142857142857
0004,1
0005,0.9302325581395349
0006,0.7061611374407583
0007,0.5333333333333333
0008,0.7528089887640449
0009,0.8407960199004975
0010,0.6919691969196919
0011,0.5885167464114832
0012,0.6101190476190477
0013,0.4393939393939394

# תאריך התחלה: 20260319
# תאריך סיום: 20260616
שבוע N,משך ההתעניינות הממוצע בכל סשן
0000,13.36111111111111
0001,29.619834710743802
0002,30.838709677419356
0003,21.428571428571427
0004,34.181372549019606
0005,34.886153846153846
0006,34.43843843843844
0007,21.328813559322032
0008,37.218430034129696
0009,56.15282392026578
0010,34.013798111837325
0011,53.159322033898306
0012,22.446058091286307
0013,26.43617021276596

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
עיר,משתמשים פעילים
Tel Aviv-Yafo,1300
Petah Tikva,453
Jerusalem,254
Haifa,217
New York,120
Be'er Sheva,117
Netanya,112
Rishon LeZion,85
Holon,39
Bet Shemesh,34
London,23
Rehovot,20
Modi'in-Maccabim-Re'ut,19
Dublin,18
Hod Hasharon,18
Ashkelon,17
Kefar Sava,17
Ramat Gan,17
Chicago,16
Ra'anana,14
Yavne,14
Ashdod,13
Bat Yam,13
Los Angeles,13
Gedera,11
Eilat,8
Lod,8
Piscataway,8
Ramla,8
Rosh Haayin,8
Toms River,8
Boardman,7
Prineville,7
Baltimore,6
Calgary,6
Miami,6
Ness Ziona,6
Safed,6
Sydney,6
Bnei Brak,5
Hadera,5
Kadima Zoran,5
McConnelsville,5
Mevaseret Zion,5
Tel Mond,5
Warsaw,5
Woodmere,5
Council Bluffs,4
Fort Wayne,4
Kiryat Gat,4
Kiryat Malakhi,4
Lakewood,4
Long Branch,4
Meitar,4
Muhlhausen,4
Nahariyya,4
Newark,4
Phoenix,4
Shoham,4
Teaneck,4
Antwerp,3
Atlanta,3
Birmingham,3
Clifton,3
Gilbert,3
Harish,3
Jackson Township,3
Karmiel,3
Kiryat Bialik,3
New City,3
North Bergen,3
Palm Bay,3
Petersburg,3
Plymouth,3
Rahat,3
San Antonio,3
Swindon,3
Toronto,3
Troy,3
Valencia,3
Yokne'am Illit,3
Afula,2
Amsterdam,2
Auburn Hills,2
Aurora,2
Be'er Ya'akov,2
Berlin,2
Binyamina-Giv'at Ada,2
Boston,2
Brick Township,2
Budapest,2
Calhoun,2
Clewiston,2
Columbus,2
Detroit,2
Dover-Foxcroft,2
Fitchburg,2
Forest City,2
Fort Lauderdale,2
Frankfurt am Main,2
Hamilton,2
Harrison,2
Johnstown,2
Keene,2
Kfar Yona,2
Lafayette,2
Loughman,2
Louisa,2
Louisville,2
Lulea,2
Mattawa,2
Melbourne,2
Middletown Township,2
Migdal HaEmek,2
Milton Keynes,2
Monsey,2
Montreal,2
New Haven,2
Ocean Township,2
Ogdensburg,2
Paris,2
Passaic,2
Perry,2
Philadelphia,2
Powhatan,2
Providence,2
Richmond Hill,2
San Diego,2
Sderot,2
Shefa-Amr,2
Slippery Rock,2
Staveley,2
Trenton,2
Vaughan,2
Vernon,2
Warren,2
Zemer,2
Acre,1
Airmont,1
Albany,1
Alexandria,1
Altavista,1
Annapolis,1
Arnprior,1
Ashburn,1
Ashland,1
Aspen,1
Athens,1
Auburn,1
Bangor,1
Barcelona,1
Baxter Springs,1
Beachwood,1
Beckley,1
Belfast,1
Belgrade,1
Benkelman,1
Bergenfield,1
Bhubaneswar,1
Big Stone Gap,1
Billings,1
Blairsville,1
Bloomsburg,1
Blue Mountains,1
Borkum,1
Borlange,1
Bracebridge,1
Brandon,1
Bremen,1
Brest,1
Bridgeport,1
Bridgman,1
Bristol,1
Broomall,1
Buckhannon,1
Buenos Aires,1
Buffalo,1
Cabot,1
Calvillo,1
Canton,1
Cape Coral,1
Cazadero,1
Chester,1
Chisinau,1
Clarence-Rockland,1
Clinton,1
Colby,1
Columbia City,1
Conyers,1
Copenhagen,1
Corbin,1
Corpus Christi,1
Coshocton,1
Cote Saint-Luc,1
Cottonwood,1
Cynthiana,1
Dade City,1
Dahlgren,1
Dallas,1
Decatur,1
Degollado,1
Delano,1
Delhi,1
Dimona,1
Doerun,1
Dreieich,1
Drexel Hill,1
Duchesne,1
Durham,1
East Liverpool,1
Easton,1
Eatonton,1
Edinburgh,1
Elizabeth City,1
Emporia,1
Englewood,1
Erwin,1
Fair Lawn,1
Farmville,1
Findlay,1
Flagstaff,1
Fort Meade,1
Fort Worth,1
Freehold Township,1
Freeport,1
Gainesville,1
Galax,1
Gan Yavne,1
General Luna,1
Georgetown,1
Gloversville,1
Goldsboro,1
Goshen,1
Grand Ledge,1
Great Barrington,1
Great Neck,1
Greenville,1
Grenada,1
Gretna,1
Grundy,1
Gurugram,1
Hamburg,1
Hancock,1
Hartford,1
Hartwell,1
Headland,1
Hendersonville,1
Hermitage,1
Herzliya,1
Hickory,1
Hillsboro,1
Hilton Head Island,1
Hodgenville,1
Hoganas,1
Howell Township,1
Hura,1
Hyden,1
Hyderabad,1
I'billin,1
Idaho Springs,1
Inglis,1
Isle of Palms,1
Jacksonville Beach,1
Junction City,1
Karachi,1
Kemp Mill,1
Ketchum,1
Key West,1
Kfar Tavor,1
Kilmarnock,1
Kiryat Ata,1
Kiryat Ono,1
Kokhav Ya'ir Tzur Yigal,1
La Spezia,1
Lachute,1
Lauderhill,1
Laurens,1
Lawrence,1
Le Havre,1
Leeds,1
Leesburg,1
Lincolnton,1
Lismore,1
Livingston,1
Lordsburg,1
Lublin,1
Lufkin,1
Ma'alot-Tarshiha,1
Macclenny,1
Madeira Beach,1
Madison,1
Madison Heights,1
Manchester,1
Mannheim,1
Manning,1
Maracaibo,1
Marco Island,1
Markham,1
Marshfield,1
Marysville,1
Mazkeret Batya,1
Mescalero,1
Mesquite,1
Metropolis,1
Miami Beach,1
Miami Gardens,1
Middlefield,1
Middletown,1
Montady,1
Montebello,1
Moriarty,1
Morristown,1
Moruya,1
Moscow,1
Mount Sterling,1
Msukaligwa Local Municipality,1
Murphy,1
Nagpur,1
Nanticoke,1
Natchez,1
Natick,1
Nazareth,1
Nelakondapalli,1
Netivot,1
New Brunswick,1
New Castle,1
New Hempstead,1
New Milford,1
New Orleans,1
New Philadelphia,1
New Rochelle,1
Newcastle upon Tyne,1
Nicholasville,1
Niles,1
Nof HaGalil,1
Norfolk,1
North Bellmore,1
North Miami Beach,1
Norwich,1
Ocala,1
Ofakim,1
Okeechobee,1
Omaha,1
Omer,1
Orange,1
Orem,1
Orlando,1
Oskaloosa,1
Oslo Municipality,1
Ostersund,1
Overland Park,1
Owenton,1
Palermo,1
Paramus,1
Parkersburg,1
Patzcuaro,1
Pendleton,1
Pentwater,1
Piqua,1
Port Lavaca,1
Portland,1
Pretoria,1
Puebla,1
Qiryat Shemona,1
Raleigh,1
Ramat Hasharon,1
Red Bluff,1
Reineh,1
Reston,1
Rice,1
Richmond,1
Rio de Janeiro,1
Rishikesh,1
Rochester,1
Rock Hill,1
Rockaway Township,1
Rocky Mount,1
Rotterdam,1
Russell Springs,1
Saint Augustine Shores,1
Sale,1
Salem,1
San Luis Obispo,1
San Rafael,1
Sandusky,1
Sanford,1
Santa Anna,1
Saraburi,1
Scottsburg,1
Scottsdale,1
Seaford,1
Shaqib al-Salam,1
Sheffield,1
Shelbyville,1
Shepparton - Mooroopna,1
Somerville,1
South Brunswick Township,1
Spring Valley,1
Springfield,1
Springville,1
St. Petersburg,1
Stamford,1
Storuman,1
Stuttgart,1
Sunbury,1
Sunny Isles Beach,1
Swanzey,1
Syracuse,1
Tallahassee,1
Tamra,1
Tayibe,1
Thomasville,1
Three Rivers,1
Tiffin,1
Tira,1
Tonneins,1
Torreon,1
Townsend,1
Umm al-Fahm,1
Union,1
Upper Township,1
Urbana,1
Vancouver,1
Vari,1
Varnamo,1
Villa Grove,1
Viola,1
Virginia Beach,1
Wadesboro,1
Warragul,1
Warrenton,1
Warwick,1
Washington,1
Waterloo,1
Waterville,1
Wesley Hills,1
West Liberty,1
Wheaton,1
Wheaton-Glenmont,1
White Plains,1
White Springs,1
Winamac,1
Winchester,1
Windsor,1
Wroclaw,1
Yehud-Monosson,1
Yerres,1
Zarzir,1
Zurich,1

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
שבוע N,משך ההתעניינות הממוצע לכל משתמש פעיל
0000,18.5
0001,37.72631578947368
0002,44.12307692307692
0003,31.428571428571427
0004,69.73
0005,65.9186046511628
0006,54.350710900473935
0007,29.961904761904762
0008,61.264044943820224
0009,84.08955223880596
0010,51.52585258525853
0011,75.03349282296651
0012,32.19940476190476
0013,37.65151515151515

# תאריך התחלה: 20260319
# תאריך סיום: 20260616
שבוע N,סשנים עם התעניינות לכל משתמש פעיל
0000,0.7307692307692307
0001,0.5894736842105263
0002,0.6307692307692307
0003,0.6857142857142857
0004,1
0005,0.9302325581395349
0006,0.7061611374407583
0007,0.5333333333333333
0008,0.7528089887640449
0009,0.8407960199004975
0010,0.6919691969196919
0011,0.5885167464114832
0012,0.6101190476190477
0013,0.4393939393939394

# תאריך התחלה: 20260319
# תאריך סיום: 20260616
שבוע N,משך ההתעניינות הממוצע בכל סשן
0000,13.36111111111111
0001,29.619834710743802
0002,30.838709677419356
0003,21.428571428571427
0004,34.181372549019606
0005,34.886153846153846
0006,34.43843843843844
0007,21.328813559322032
0008,37.218430034129696
0009,56.15282392026578
0010,34.013798111837325
0011,53.159322033898306
0012,22.446058091286307
0013,26.43617021276596

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
שם האירוע,ספירת אירועים
page_view,15293
scroll,5701
session_start,5038
first_visit,3084
user_engagement,2691
detect_user,144
gtm.js,25
view_item,22
form_start,20
form_submit,17
click,13
purchase,1

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
כותרת דף וסיווג מסך,צפיות
ShukWay | שוק מחנה יהודה,5502
Mahne Yehuda,647
